cycle|instructions|events|atoms|bonds|delivered|error
96|part-10:rotate_cw,part-8:rotate_ccw|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|{}|-
97|part-10:rotate_cw,part-8:extend|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|{}|-
98|part-10:rotate_cw,part-8:grab|atom-grabbed|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[part-8]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|{}|-
99|part-10:extend,part-8:track_minus|input-spawned,atom-calcified|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=salt@4,-5[part-8];part-9-spawn-4-atom-0=water@3,-5[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|{}|-
100|part-8:rotate_cw|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=salt@2,-3[part-8];part-9-spawn-4-atom-0=water@3,-5[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|{}|-
101|part-8:extend|bonder-chain-shifted,bonder-payload-shifted,bond-created|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[part-8];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
102|part-8:drop|atoms-dropped|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
103|part-8:retract|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
104|part-8:retract|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
105|part-8:rotate_cw|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
106|part-8:grab|atom-grabbed|part-4-spawn-0-atom-0=salt@3,-2[part-8];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
107|part-8:track_plus|-|part-4-spawn-0-atom-0=salt@2,-2[part-8];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
108|part-8:rotate_cw|-|part-4-spawn-0-atom-0=salt@3,-2[part-8];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
109|part-10:grab,part-8:drop|atoms-dropped|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
110|part-10:retract|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
111|part-10:extend|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
112|part-10:drop,part-8:grab|atom-grabbed|part-4-spawn-0-atom-0=salt@3,-2[part-8];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
113|part-8:rotate_ccw|-|part-4-spawn-0-atom-0=salt@2,-2[part-8];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
114|part-8:track_minus|-|part-4-spawn-0-atom-0=salt@3,-2[part-8];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
115|part-10:track_minus,part-8:drop|atoms-dropped|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
116|part-10:track_minus,part-8:track_minus|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
117|part-10:rotate_ccw,part-8:track_minus|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
118|part-10:rotate_ccw,part-8:rotate_ccw|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
119|part-10:grab,part-8:rotate_ccw|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
120|part-10:rotate_ccw,part-8:grab|atom-grabbed|part-4-spawn-0-atom-0=salt@3,-2[part-8];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
121|part-10:drop,part-8:track_minus|-|part-4-spawn-0-atom-0=salt@2,-2[part-8];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
122|part-10:track_minus,part-8:track_plus|-|part-4-spawn-0-atom-0=salt@3,-2[part-8];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
