cycle|instructions|events|p8|p10|bonds|atoms|error
58|part-10:track_plus,part-8:track_minus|-|o=4,-2;r=4;l=2;t=2;tips=0:4,-4;held=-|o=2,-1;r=0;l=1;t=0;tips=0:3,-1;held=part-4-spawn-0-atom-0|-|part-4-spawn-0-atom-0=salt@3,-1[part-10];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,0[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@1,-3[-];part-9-spawn-2-atom-0=salt@4,-5[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
59|part-8:extend|-|o=4,-2;r=4;l=3;t=2;tips=0:4,-5;held=-|o=2,-1;r=0;l=1;t=0;tips=0:3,-1;held=part-4-spawn-0-atom-0|-|part-4-spawn-0-atom-0=salt@3,-1[part-10];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,0[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@1,-3[-];part-9-spawn-2-atom-0=salt@4,-5[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
60|part-8:grab|atom-grabbed|o=4,-2;r=4;l=3;t=2;tips=0:4,-5;held=part-9-spawn-2-atom-0|o=2,-1;r=0;l=1;t=0;tips=0:3,-1;held=part-4-spawn-0-atom-0|-|part-4-spawn-0-atom-0=salt@3,-1[part-10];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,0[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@1,-3[-];part-9-spawn-2-atom-0=salt@4,-5[part-8];part-9-spawn-3-atom-0=water@3,-5[-]|-
61|part-8:rotate_cw|-|o=4,-2;r=3;l=3;t=2;tips=0:1,-2;held=part-9-spawn-2-atom-0|o=2,-1;r=0;l=1;t=0;tips=0:3,-1;held=part-4-spawn-0-atom-0|-|part-4-spawn-0-atom-0=salt@3,-1[part-10];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,0[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@1,-3[-];part-9-spawn-2-atom-0=salt@1,-2[part-8];part-9-spawn-3-atom-0=water@3,-5[-]|-
62|part-10:track_minus,part-8:track_plus|atom-bonder-displaced,bond-created,floating-bond-created|o=4,-3;r=3;l=3;t=3;tips=0:1,-3;held=part-9-spawn-2-atom-0|o=2,-2;r=0;l=1;t=5;tips=0:3,-2;held=part-4-spawn-0-atom-0|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[part-10];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,0[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[part-8];part-9-spawn-3-atom-0=water@3,-5[-]|-
63|part-10:drop,part-8:drop|atoms-dropped,atoms-dropped,floating-bond-settled|o=4,-3;r=3;l=3;t=3;tips=0:1,-3;held=-|o=2,-2;r=0;l=1;t=5;tips=0:3,-2;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,0[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
64|part-10:rotate_ccw,part-8:retract|-|o=4,-3;r=3;l=2;t=3;tips=0:2,-3;held=-|o=2,-2;r=1;l=1;t=5;tips=0:2,-1;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,0[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
65|part-10:rotate_ccw,part-8:retract|-|o=4,-3;r=3;l=1;t=3;tips=0:3,-3;held=-|o=2,-2;r=2;l=1;t=5;tips=0:1,-1;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,0[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
66|part-10:extend,part-8:rotate_ccw|-|o=4,-3;r=4;l=1;t=3;tips=0:4,-4;held=-|o=2,-2;r=2;l=2;t=5;tips=0:0,0;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,0[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
67|part-10:grab,part-8:grab|atom-grabbed|o=4,-3;r=4;l=1;t=3;tips=0:4,-4;held=-|o=2,-2;r=2;l=2;t=5;tips=0:0,0;held=part-9-spawn-0-atom-0|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,0[part-10];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
68|part-10:retract|-|o=4,-3;r=4;l=1;t=3;tips=0:4,-4;held=-|o=2,-2;r=2;l=1;t=5;tips=0:1,-1;held=part-9-spawn-0-atom-0|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@1,-1[part-10];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
69|part-10:rotate_ccw|-|o=4,-3;r=4;l=1;t=3;tips=0:4,-4;held=-|o=2,-2;r=3;l=1;t=5;tips=0:1,-2;held=part-9-spawn-0-atom-0|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@1,-2[part-10];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
70|part-10:track_plus|-|o=4,-3;r=4;l=1;t=3;tips=0:4,-4;held=-|o=2,-1;r=3;l=1;t=0;tips=0:1,-1;held=part-9-spawn-0-atom-0|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@1,-1[part-10];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
71|part-10:extend,part-8:track_plus|-|o=3,-3;r=4;l=1;t=4;tips=0:3,-4;held=-|o=2,-1;r=3;l=2;t=0;tips=0:0,-1;held=part-9-spawn-0-atom-0|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[part-10];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
72|part-10:drop,part-8:drop|atoms-dropped|o=3,-3;r=4;l=1;t=4;tips=0:3,-4;held=-|o=2,-1;r=3;l=2;t=0;tips=0:0,-1;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
73|part-10:retract,part-8:rotate_cw|-|o=3,-3;r=3;l=1;t=4;tips=0:2,-3;held=-|o=2,-1;r=3;l=1;t=0;tips=0:1,-1;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
74|part-10:rotate_cw,part-8:rotate_cw|-|o=3,-3;r=2;l=1;t=4;tips=0:2,-2;held=-|o=2,-1;r=2;l=1;t=0;tips=0:1,0;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
75|part-10:extend,part-8:grab|-|o=3,-3;r=2;l=1;t=4;tips=0:2,-2;held=-|o=2,-1;r=2;l=2;t=0;tips=0:0,1;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
76|part-10:grab|-|o=3,-3;r=2;l=1;t=4;tips=0:2,-2;held=-|o=2,-1;r=2;l=2;t=0;tips=0:0,1;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
77|part-10:retract|-|o=3,-3;r=2;l=1;t=4;tips=0:2,-2;held=-|o=2,-1;r=2;l=1;t=0;tips=0:1,0;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
78|part-10:track_plus|-|o=3,-3;r=2;l=1;t=4;tips=0:2,-2;held=-|o=3,-1;r=2;l=1;t=1;tips=0:2,0;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
79|part-10:rotate_cw|-|o=3,-3;r=2;l=1;t=4;tips=0:2,-2;held=-|o=3,-1;r=1;l=1;t=1;tips=0:3,0;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
80|part-10:rotate_cw,part-8:rotate_cw|-|o=3,-3;r=1;l=1;t=4;tips=0:3,-2;held=-|o=3,-1;r=0;l=1;t=1;tips=0:4,-1;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
81|part-10:rotate_cw,part-8:drop|-|o=3,-3;r=1;l=1;t=4;tips=0:3,-2;held=-|o=3,-1;r=5;l=1;t=1;tips=0:4,-2;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
