cycle|instructions|events|spawnCounts|bonds|atoms|delivered|error
80|part-10:rotate_cw,part-8:rotate_cw|-|part-4:2,part-9:4|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|{}|-
81|part-10:rotate_cw,part-8:drop|-|part-4:2,part-9:4|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|{}|-
82|part-10:track_plus,part-8:track_plus|-|part-4:2,part-9:4|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|{}|-
83|part-10:track_plus,part-8:rotate_cw|-|part-4:2,part-9:4|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|{}|-
84|part-8:grab|atom-grabbed|part-4:2,part-9:4|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[part-8];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|{}|-
85|part-10:rotate_cw,part-8:rotate_cw|-|part-4:2,part-9:4|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-3[part-8];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|{}|-
86|part-8:track_plus|-|part-4:2,part-9:4|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[part-8];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|{}|-
87|part-8:drop|atoms-dropped|part-4:2,part-9:4|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|{}|-
88|part-10:track_plus,part-8:track_plus|-|part-4:2,part-9:4|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|{}|-
89|part-1:rotate_cw,part-10:track_plus,part-8:rotate_cw|-|part-4:2,part-9:4|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|{}|-
